ZIP Code,NAME,Dominant Tapestry Segment Number per Zip,Dominant Tapestry Segment Code per Zip,Dominant Tapestry Segment Name per Zip,Dominant Lifemode Code,Dominant Lifemode Group Name
93653,Raymond,23,6C,The Great Outdoors,6,Cozy Country Living
93654,Reedley,31,7E,Valley Growers,7,Ethnic Enclaves
93656,Riverdale,31,7E,Valley Growers,7,Ethnic Enclaves
93657,Sanger,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93660,San Joaquin,31,7E,Valley Growers,7,Ethnic Enclaves
93662,Selma,31,7E,Valley Growers,7,Ethnic Enclaves
93664,Shaver Lake,5,1E,Exurbanites,1,Affluent Estates
93668,Tranquillity,31,7E,Valley Growers,7,Ethnic Enclaves
93669,Wishon,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93673,Traver,31,7E,Valley Growers,7,Ethnic Enclaves
93675,Squaw Valley,47,10B,Rooted Rural,10,Rustic Outposts
93701,Fresno,63,13D,Fresh Ambitions,13,Next Wave
93702,Fresno,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93703,Fresno,63,13D,Fresh Ambitions,13,Next Wave
93704,Fresno,37,8E,Front Porches,8,Middle Ground
93705,Fresno,63,13D,Fresh Ambitions,13,Next Wave
93706,Fresno,31,7E,Valley Growers,7,Ethnic Enclaves
93710,Fresno,16,5A,Comfortable Empty Nesters,5,GenXurban
93711,Fresno,5,1E,Exurbanites,1,Affluent Estates
93720,Fresno,17,5B,In Style,5,GenXurban
93721,Fresno,45,9F,Social Security Set,9,Senior Styles
93722,Fresno,27,7A,Up and Coming Families,7,Ethnic Enclaves
93723,Fresno,27,7A,Up and Coming Families,7,Ethnic Enclaves
93725,Fresno,31,7E,Valley Growers,7,Ethnic Enclaves
93726,Fresno,37,8E,Front Porches,8,Middle Ground
93727,Fresno,63,13D,Fresh Ambitions,7,Ethnic Enclaves
93728,Fresno,37,8E,Front Porches,8,Middle Ground
93730,Fresno,5,1E,Exurbanites,1,Affluent Estates
93737,Fresno,13,4A,Soccer Moms,4,Family Landscapes
93901,Salinas,33,8A,City Lights,8,Middle Ground
93905,Salinas,31,7E,Valley Growers,7,Ethnic Enclaves
93906,Salinas,28,7B,Urban Villages,7,Ethnic Enclaves
93907,Salinas,7,2B,Pleasantville,2,Upscale Avenues
93908,Salinas,5,1E,Exurbanites,1,Affluent Estates
93920,Big Sur,6,2A,Urban Chic,2,Upscale Avenues
93921,Carmel By The Sea,40,9A,Silver & Gold,9,Senior Styles
93923,Carmel,5,1E,Exurbanites,9,Senior Styles
93924,Carmel Valley,5,1E,Exurbanites,1,Affluent Estates
93925,Chualar,31,7E,Valley Growers,7,Ethnic Enclaves
93926,Gonzales,31,7E,Valley Growers,7,Ethnic Enclaves
93927,Greenfield,31,7E,Valley Growers,7,Ethnic Enclaves
93928,Jolon,23,6C,The Great Outdoors,6,Cozy Country Living
93930,King City,31,7E,Valley Growers,7,Ethnic Enclaves
93932,Lockwood,23,6C,The Great Outdoors,6,Cozy Country Living
93933,Marina,7,2B,Pleasantville,8,Middle Ground
93940,Monterey,12,3C,Trendsetters,3,Uptown Individuals
93943,Monterey,12,3C,Trendsetters,3,Uptown Individuals
93950,Pacific Grove,17,5B,In Style,5,GenXurban
93953,Pebble Beach,40,9A,Silver & Gold,9,Senior Styles
93954,San Lucas,31,7E,Valley Growers,7,Ethnic Enclaves
93955,Seaside,60,13A,International Marketplace,13,Next Wave
93960,Soledad,68,15,Unclassified,7,Ethnic Enclaves
94002,Belmont,6,2A,Urban Chic,2,Upscale Avenues
94005,Brisbane,33,8A,City Lights,2,Upscale Avenues
94010,Burlingame,1,1A,Top Tier,1,Affluent Estates
94014,Daly City,8,2C,Pacific Heights,2,Upscale Avenues
94015,Daly City,8,2C,Pacific Heights,2,Upscale Avenues
94018,El Granada,6,2A,Urban Chic,2,Upscale Avenues
94019,Half Moon Bay,4,1D,Savvy Suburbanites,1,Affluent Estates
94020,La Honda,6,2A,Urban Chic,2,Upscale Avenues
94021,Loma Mar,6,2A,Urban Chic,2,Upscale Avenues
94022,Los Altos,1,1A,Top Tier,1,Affluent Estates
94024,Los Altos,1,1A,Top Tier,1,Affluent Estates
94025,Menlo Park,1,1A,Top Tier,1,Affluent Estates
94027,Atherton,1,1A,Top Tier,1,Affluent Estates
94028,Portola Valley,1,1A,Top Tier,1,Affluent Estates
94030,Millbrae,8,2C,Pacific Heights,2,Upscale Avenues
94037,Montara,6,2A,Urban Chic,2,Upscale Avenues
94038,Moss Beach,4,1D,Savvy Suburbanites,1,Affluent Estates
94040,Mountain View,1,1A,Top Tier,3,Uptown Individuals
94041,Mountain View,12,3C,Trendsetters,3,Uptown Individuals
94043,Mountain View,9,2D,Enterprising Professionals,2,Upscale Avenues
94044,Pacifica,7,2B,Pleasantville,2,Upscale Avenues
94060,Pescadero,6,2A,Urban Chic,2,Upscale Avenues
94061,Redwood City,6,2A,Urban Chic,2,Upscale Avenues
94062,Redwood City,1,1A,Top Tier,1,Affluent Estates
94063,Redwood City,60,13A,International Marketplace,13,Next Wave
94065,Redwood City,9,2D,Enterprising Professionals,2,Upscale Avenues
94066,San Bruno,8,2C,Pacific Heights,2,Upscale Avenues
94070,San Carlos,6,2A,Urban Chic,2,Upscale Avenues
94074,San Gregorio,6,2A,Urban Chic,2,Upscale Avenues
94080,South San Francisco,8,2C,Pacific Heights,2,Upscale Avenues
94085,Sunnyvale,9,2D,Enterprising Professionals,2,Upscale Avenues
94086,Sunnyvale,9,2D,Enterprising Professionals,2,Upscale Avenues
94087,Sunnyvale,9,2D,Enterprising Professionals,2,Upscale Avenues
94089,Sunnyvale,9,2D,Enterprising Professionals,2,Upscale Avenues
94102,San Francisco,45,9F,Social Security Set,3,Uptown Individuals
94103,San Francisco,12,3C,Trendsetters,3,Uptown Individuals
94104,San Francisco,36,8D,Downtown Melting Pot,8,Middle Ground
94105,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94107,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94108,San Francisco,45,9F,Social Security Set,3,Uptown Individuals
94109,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94110,San Francisco,12,3C,Trendsetters,3,Uptown Individuals
94111,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94112,San Francisco,8,2C,Pacific Heights,2,Upscale Avenues
94114,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94115,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94116,San Francisco,8,2C,Pacific Heights,2,Upscale Avenues
94117,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94118,San Francisco,12,3C,Trendsetters,3,Uptown Individuals
94121,San Francisco,36,8D,Downtown Melting Pot,8,Middle Ground
94122,San Francisco,12,3C,Trendsetters,3,Uptown Individuals
94124,San Francisco,33,8A,City Lights,8,Middle Ground
94127,San Francisco,6,2A,Urban Chic,2,Upscale Avenues
94128,San Francisco,60,13A,International Marketplace,13,Next Wave
94129,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94130,San Francisco,12,3C,Trendsetters,3,Uptown Individuals
94131,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94132,San Francisco,8,2C,Pacific Heights,2,Upscale Avenues
94134,San Francisco,8,2C,Pacific Heights,2,Upscale Avenues
94143,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94158,San Francisco,10,3A,Laptops and Lattes,3,Uptown Individuals
94301,Palo Alto,1,1A,Top Tier,1,Affluent Estates
94303,Palo Alto,28,7B,Urban Villages,7,Ethnic Enclaves
94304,Palo Alto,10,3A,Laptops and Lattes,3,Uptown Individuals
94305,Stanford,67,14C,Dorms to Diplomas,14,Scholars and Patriots
94306,Palo Alto,6,2A,Urban Chic,2,Upscale Avenues
94401,San Mateo,33,8A,City Lights,8,Middle Ground
94402,San Mateo,1,1A,Top Tier,1,Affluent Estates
94403,San Mateo,9,2D,Enterprising Professionals,2,Upscale Avenues
94404,San Mateo,8,2C,Pacific Heights,2,Upscale Avenues
94501,Alameda,33,8A,City Lights,8,Middle Ground
94502,Alameda,8,2C,Pacific Heights,1,Affluent Estates
94503,American Canyon,7,2B,Pleasantville,2,Upscale Avenues
94505,Discovery Bay,5,1E,Exurbanites,1,Affluent Estates
94506,Danville,1,1A,Top Tier,1,Affluent Estates
94507,Alamo,1,1A,Top Tier,1,Affluent Estates
94508,Angwin,17,5B,In Style,5,GenXurban
94509,Antioch,37,8E,Front Porches,7,Ethnic Enclaves
94510,Benicia,17,5B,In Style,1,Affluent Estates
94511,Bethel Island,43,9D,Senior Escapes,9,Senior Styles
94512,Birds Landing,21,6A,Green Acres,6,Cozy Country Living
94513,Brentwood,13,4A,Soccer Moms,4,Family Landscapes
94514,Byron,33,8A,City Lights,8,Middle Ground
94515,Calistoga,23,6C,The Great Outdoors,6,Cozy Country Living
94516,Canyon,5,1E,Exurbanites,1,Affluent Estates
94517,Clayton,4,1D,Savvy Suburbanites,1,Affluent Estates
94518,Concord,7,2B,Pleasantville,8,Middle Ground
94519,Concord,7,2B,Pleasantville,2,Upscale Avenues
94520,Concord,62,13C,NeWest Residents,13,Next Wave
94521,Concord,7,2B,Pleasantville,2,Upscale Avenues
94523,Pleasant Hill,5,1E,Exurbanites,2,Upscale Avenues
94525,Crockett,33,8A,City Lights,8,Middle Ground
94526,Danville,1,1A,Top Tier,1,Affluent Estates
94528,Diablo,1,1A,Top Tier,1,Affluent Estates
94530,El Cerrito,33,8A,City Lights,2,Upscale Avenues
94531,Antioch,13,4A,Soccer Moms,4,Family Landscapes
94533,Fairfield,37,8E,Front Porches,7,Ethnic Enclaves
94534,Fairfield,13,4A,Soccer Moms,1,Affluent Estates
94535,Travis Afb,65,14A,Military Proximity,14,Scholars and Patriots
94536,Fremont,9,2D,Enterprising Professionals,2,Upscale Avenues
94538,Fremont,9,2D,Enterprising Professionals,2,Upscale Avenues
94539,Fremont,1,1A,Top Tier,1,Affluent Estates
94541,Hayward,60,13A,International Marketplace,13,Next Wave
94542,Hayward,7,2B,Pleasantville,2,Upscale Avenues
94544,Hayward,60,13A,International Marketplace,13,Next Wave
94545,Hayward,28,7B,Urban Villages,7,Ethnic Enclaves
94546,Castro Valley,7,2B,Pleasantville,2,Upscale Avenues
94547,Hercules,8,2C,Pacific Heights,2,Upscale Avenues
94548,Knightsen,27,7A,Up and Coming Families,7,Ethnic Enclaves
94549,Lafayette,1,1A,Top Tier,1,Affluent Estates
94550,Livermore,7,2B,Pleasantville,1,Affluent Estates
94551,Livermore,13,4A,Soccer Moms,1,Affluent Estates
94552,Castro Valley,2,1B,Professional Pride,1,Affluent Estates
94553,Martinez,7,2B,Pleasantville,8,Middle Ground
94555,Fremont,8,2C,Pacific Heights,2,Upscale Avenues
94556,Moraga,1,1A,Top Tier,1,Affluent Estates
94558,Napa,5,1E,Exurbanites,1,Affluent Estates
94559,Napa,60,13A,International Marketplace,13,Next Wave
94560,Newark,28,7B,Urban Villages,2,Upscale Avenues
94561,Oakley,29,7C,American Dreamers,7,Ethnic Enclaves
94562,Oakville,5,1E,Exurbanites,1,Affluent Estates
94563,Orinda,1,1A,Top Tier,1,Affluent Estates
94564,Pinole,33,8A,City Lights,2,Upscale Avenues
94565,Pittsburg,28,7B,Urban Villages,7,Ethnic Enclaves
94566,Pleasanton,2,1B,Professional Pride,1,Affluent Estates
94567,Pope Valley,23,6C,The Great Outdoors,6,Cozy Country Living
94568,Dublin,9,2D,Enterprising Professionals,2,Upscale Avenues
94569,Port Costa,16,5A,Comfortable Empty Nesters,5,GenXurban
94571,Rio Vista,40,9A,Silver & Gold,9,Senior Styles
94572,Rodeo,7,2B,Pleasantville,2,Upscale Avenues
94573,Rutherford,5,1E,Exurbanites,1,Affluent Estates
94574,Saint Helena,5,1E,Exurbanites,1,Affluent Estates
94577,San Leandro,33,8A,City Lights,8,Middle Ground
94578,San Leandro,60,13A,International Marketplace,8,Middle Ground
94579,San Leandro,7,2B,Pleasantville,2,Upscale Avenues
94580,San Lorenzo,28,7B,Urban Villages,7,Ethnic Enclaves
94582,San Ramon,3,1C,Boomburbs,1,Affluent Estates
94583,San Ramon,4,1D,Savvy Suburbanites,1,Affluent Estates
94585,Suisun City,14,4B,Home Improvement,4,Family Landscapes
94586,Sunol,1,1A,Top Tier,1,Affluent Estates
94587,Union City,8,2C,Pacific Heights,2,Upscale Avenues
94588,Pleasanton,2,1B,Professional Pride,1,Affluent Estates
94589,Vallejo,28,7B,Urban Villages,7,Ethnic Enclaves
94590,Vallejo,37,8E,Front Porches,8,Middle Ground
94591,Vallejo,4,1D,Savvy Suburbanites,1,Affluent Estates
94592,Vallejo,17,5B,In Style,5,GenXurban
94595,Walnut Creek,42,9C,The Elders,9,Senior Styles
94596,Walnut Creek,12,3C,Trendsetters,3,Uptown Individuals
94597,Walnut Creek,6,2A,Urban Chic,2,Upscale Avenues
94598,Walnut Creek,1,1A,Top Tier,1,Affluent Estates
94599,Yountville,68,15,Unclassified,9,Senior Styles
94601,Oakland,60,13A,International Marketplace,13,Next Wave
94602,Oakland,6,2A,Urban Chic,2,Upscale Avenues
94603,Oakland,63,13D,Fresh Ambitions,13,Next Wave
94605,Oakland,51,11A,City Strivers,2,Upscale Avenues
94606,Oakland,12,3C,Trendsetters,3,Uptown Individuals
94607,Oakland,55,11E,City Commons,11,Midtown Singles
94608,Emeryville,12,3C,Trendsetters,3,Uptown Individuals
94609,Oakland,12,3C,Trendsetters,3,Uptown Individuals
94611,Oakland,6,2A,Urban Chic,2,Upscale Avenues
94613,Oakland,67,14C,Dorms to Diplomas,14,Scholars and Patriots
94618,Oakland,6,2A,Urban Chic,2,Upscale Avenues
94619,Oakland,33,8A,City Lights,8,Middle Ground
94621,Oakland,63,13D,Fresh Ambitions,13,Next Wave
94702,Berkeley,33,8A,City Lights,8,Middle Ground
94703,Berkeley,12,3C,Trendsetters,3,Uptown Individuals
94704,Berkeley,67,14C,Dorms to Diplomas,14,Scholars and Patriots
94705,Berkeley,12,3C,Trendsetters,3,Uptown Individuals
94706,Albany,33,8A,City Lights,8,Middle Ground
94707,Berkeley,6,2A,Urban Chic,2,Upscale Avenues
94708,Berkeley,6,2A,Urban Chic,2,Upscale Avenues
94709,Berkeley,66,14B,College Towns,14,Scholars and Patriots
94710,Berkeley,12,3C,Trendsetters,3,Uptown Individuals
94720,Berkeley,67,14C,Dorms to Diplomas,14,Scholars and Patriots
94801,Richmond,63,13D,Fresh Ambitions,13,Next Wave
94803,El Sobrante,33,8A,City Lights,8,Middle Ground
94804,Richmond,28,7B,Urban Villages,13,Next Wave
94805,Richmond,33,8A,City Lights,8,Middle Ground
94806,San Pablo,28,7B,Urban Villages,7,Ethnic Enclaves
94901,San Rafael,12,3C,Trendsetters,13,Next Wave
94903,San Rafael,5,1E,Exurbanites,1,Affluent Estates
94904,Greenbrae,1,1A,Top Tier,1,Affluent Estates
94920,Belvedere Tiburon,1,1A,Top Tier,1,Affluent Estates
94922,Bodega,23,6C,The Great Outdoors,6,Cozy Country Living
94923,Bodega Bay,40,9A,Silver & Gold,9,Senior Styles
94924,Bolinas,34,8B,Emerald City,8,Middle Ground
94925,Corte Madera,6,2A,Urban Chic,2,Upscale Avenues
94928,Rohnert Park,35,8C,Bright Young Professionals,8,Middle Ground
94929,Dillon Beach,23,6C,The Great Outdoors,6,Cozy Country Living
94930,Fairfax,6,2A,Urban Chic,2,Upscale Avenues
94931,Cotati,35,8C,Bright Young Professionals,8,Middle Ground
94933,Forest Knolls,6,2A,Urban Chic,2,Upscale Avenues
94937,Inverness,40,9A,Silver & Gold,9,Senior Styles
94938,Lagunitas,6,2A,Urban Chic,2,Upscale Avenues
94939,Larkspur,6,2A,Urban Chic,2,Upscale Avenues
94940,Marshall,24,6D,Prairie Living,6,Cozy Country Living
94941,Mill Valley,6,2A,Urban Chic,2,Upscale Avenues
94945,Novato,5,1E,Exurbanites,1,Affluent Estates
94946,Nicasio,1,1A,Top Tier,1,Affluent Estates
94947,Novato,33,8A,City Lights,1,Affluent Estates
94949,Novato,6,2A,Urban Chic,2,Upscale Avenues
94950,Olema,24,6D,Prairie Living,6,Cozy Country Living
94951,Penngrove,23,6C,The Great Outdoors,6,Cozy Country Living
94952,Petaluma,33,8A,City Lights,8,Middle Ground
94954,Petaluma,7,2B,Pleasantville,2,Upscale Avenues
94956,Point Reyes Station,6,2A,Urban Chic,2,Upscale Avenues
94957,Ross,1,1A,Top Tier,1,Affluent Estates
94960,San Anselmo,6,2A,Urban Chic,2,Upscale Avenues
94963,San Geronimo,6,2A,Urban Chic,2,Upscale Avenues
94964,San Quentin,68,15,Unclassified,8,Middle Ground
94965,Sausalito,6,2A,Urban Chic,2,Upscale Avenues
94970,Stinson Beach,6,2A,Urban Chic,2,Upscale Avenues
94971,Tomales,23,6C,The Great Outdoors,6,Cozy Country Living
94972,Valley Ford,5,1E,Exurbanites,1,Affluent Estates
94973,Woodacre,6,2A,Urban Chic,2,Upscale Avenues
95002,Alviso,28,7B,Urban Villages,7,Ethnic Enclaves
95004,Aromas,7,2B,Pleasantville,1,Affluent Estates
95005,Ben Lomond,7,2B,Pleasantville,2,Upscale Avenues
95006,Boulder Creek,17,5B,In Style,5,GenXurban
95008,Campbell,33,8A,City Lights,2,Upscale Avenues
95012,Castroville,61,13B,Las Casas,7,Ethnic Enclaves
95013,Coyote,8,2C,Pacific Heights,2,Upscale Avenues
95014,Cupertino,8,2C,Pacific Heights,2,Upscale Avenues
95017,Davenport,6,2A,Urban Chic,2,Upscale Avenues
95018,Felton,6,2A,Urban Chic,2,Upscale Avenues
95020,Gilroy,28,7B,Urban Villages,7,Ethnic Enclaves
95023,Hollister,28,7B,Urban Villages,7,Ethnic Enclaves
95030,Los Gatos,1,1A,Top Tier,1,Affluent Estates
95032,Los Gatos,6,2A,Urban Chic,1,Affluent Estates
95033,Los Gatos,6,2A,Urban Chic,1,Affluent Estates
95035,Milpitas,8,2C,Pacific Heights,2,Upscale Avenues
95037,Morgan Hill,60,13A,International Marketplace,1,Affluent Estates
95039,Moss Landing,31,7E,Valley Growers,7,Ethnic Enclaves
95043,Paicines,23,6C,The Great Outdoors,6,Cozy Country Living
95045,San Juan Bautista,33,8A,City Lights,8,Middle Ground
95046,San Martin,4,1D,Savvy Suburbanites,1,Affluent Estates
95050,Santa Clara,12,3C,Trendsetters,3,Uptown Individuals
95051,Santa Clara,8,2C,Pacific Heights,2,Upscale Avenues
95054,Santa Clara,9,2D,Enterprising Professionals,2,Upscale Avenues
95060,Santa Cruz,6,2A,Urban Chic,2,Upscale Avenues
95066,Scotts Valley,6,2A,Urban Chic,2,Upscale Avenues
95070,Saratoga,1,1A,Top Tier,1,Affluent Estates
95075,Tres Pinos,21,6A,Green Acres,6,Cozy Country Living
95076,Watsonville,28,7B,Urban Villages,7,Ethnic Enclaves
95110,San Jose,60,13A,International Marketplace,13,Next Wave
95111,San Jose,28,7B,Urban Villages,7,Ethnic Enclaves
95112,San Jose,12,3C,Trendsetters,3,Uptown Individuals
95113,San Jose,10,3A,Laptops and Lattes,3,Uptown Individuals
95116,San Jose,61,13B,Las Casas,13,Next Wave
95117,San Jose,60,13A,International Marketplace,13,Next Wave
95118,San Jose,7,2B,Pleasantville,2,Upscale Avenues
95119,San Jose,7,2B,Pleasantville,2,Upscale Avenues
95120,San Jose,1,1A,Top Tier,1,Affluent Estates
95121,San Jose,8,2C,Pacific Heights,2,Upscale Avenues
95122,San Jose,28,7B,Urban Villages,7,Ethnic Enclaves
95123,San Jose,7,2B,Pleasantville,2,Upscale Avenues
95124,San Jose,7,2B,Pleasantville,2,Upscale Avenues
95125,San Jose,6,2A,Urban Chic,2,Upscale Avenues
95126,San Jose,12,3C,Trendsetters,3,Uptown Individuals
95127,San Jose,28,7B,Urban Villages,7,Ethnic Enclaves
95128,San Jose,60,13A,International Marketplace,13,Next Wave
95129,San Jose,8,2C,Pacific Heights,2,Upscale Avenues
95130,San Jose,33,8A,City Lights,8,Middle Ground
95131,San Jose,8,2C,Pacific Heights,2,Upscale Avenues
95132,San Jose,8,2C,Pacific Heights,2,Upscale Avenues
95133,San Jose,8,2C,Pacific Heights,2,Upscale Avenues
95134,San Jose,10,3A,Laptops and Lattes,3,Uptown Individuals
95135,San Jose,2,1B,Professional Pride,1,Affluent Estates
95136,San Jose,9,2D,Enterprising Professionals,2,Upscale Avenues
95138,San Jose,2,1B,Professional Pride,1,Affluent Estates
95139,San Jose,7,2B,Pleasantville,2,Upscale Avenues
95140,Mount Hamilton,8,2C,Pacific Heights,2,Upscale Avenues
95141,San Jose,5,1E,Exurbanites,1,Affluent Estates
95148,San Jose,8,2C,Pacific Heights,2,Upscale Avenues
95202,Stockton,45,9F,Social Security Set,9,Senior Styles
95203,Stockton,19,5D,Rustbelt Traditions,7,Ethnic Enclaves
95204,Stockton,19,5D,Rustbelt Traditions,8,Middle Ground
95205,Stockton,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95206,Stockton,27,7A,Up and Coming Families,7,Ethnic Enclaves
95207,Stockton,37,8E,Front Porches,8,Middle Ground
95209,Stockton,14,4B,Home Improvement,4,Family Landscapes
95210,Stockton,29,7C,American Dreamers,7,Ethnic Enclaves
95211,Stockton,5,1E,Exurbanites,1,Affluent Estates
95212,Stockton,27,7A,Up and Coming Families,7,Ethnic Enclaves
95215,Stockton,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95219,Stockton,27,7A,Up and Coming Families,1,Affluent Estates
95220,Acampo,21,6A,Green Acres,6,Cozy Country Living
95222,Angels Camp,43,9D,Senior Escapes,9,Senior Styles
95223,Arnold,25,6E,Rural Resort Dwellers,6,Cozy Country Living
95224,Avery,40,9A,Silver & Gold,9,Senior Styles
95226,Campo Seco,23,6C,The Great Outdoors,6,Cozy Country Living
95227,Clements,5,1E,Exurbanites,1,Affluent Estates
95228,Copperopolis,23,6C,The Great Outdoors,6,Cozy Country Living
95229,Douglas Flat,23,6C,The Great Outdoors,6,Cozy Country Living
95230,Farmington,21,6A,Green Acres,6,Cozy Country Living
95231,French Camp,28,7B,Urban Villages,7,Ethnic Enclaves
95233,Hathaway Pines,40,9A,Silver & Gold,9,Senior Styles
95236,Linden,21,6A,Green Acres,6,Cozy Country Living
95237,Lockeford,47,10B,Rooted Rural,10,Rustic Outposts
95240,Lodi,31,7E,Valley Growers,13,Next Wave
95242,Lodi,20,5E,Midlife Constants,5,GenXurban
95245,Mokelumne Hill,23,6C,The Great Outdoors,6,Cozy Country Living
95246,Mountain Ranch,23,6C,The Great Outdoors,6,Cozy Country Living
95247,Murphys,43,9D,Senior Escapes,9,Senior Styles
95248,Rail Road Flat,25,6E,Rural Resort Dwellers,6,Cozy Country Living
95249,San Andreas,38,8F,Old and Newcomers,8,Middle Ground
95251,Vallecito,23,6C,The Great Outdoors,6,Cozy Country Living
95252,Valley Springs,21,6A,Green Acres,6,Cozy Country Living
95253,Victor,23,6C,The Great Outdoors,6,Cozy Country Living
95254,Wallace,23,6C,The Great Outdoors,6,Cozy Country Living
95255,West Point,43,9D,Senior Escapes,9,Senior Styles
95257,Wilseyville,43,9D,Senior Escapes,9,Senior Styles
95258,Woodbridge,14,4B,Home Improvement,4,Family Landscapes
95301,Atwater,29,7C,American Dreamers,7,Ethnic Enclaves
95303,Ballico,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95304,Tracy,47,10B,Rooted Rural,1,Affluent Estates
95305,Big Oak Flat,43,9D,Senior Escapes,9,Senior Styles
95306,Catheys Valley,47,10B,Rooted Rural,10,Rustic Outposts
95307,Ceres,27,7A,Up and Coming Families,7,Ethnic Enclaves
95309,Chinese Camp,25,6E,Rural Resort Dwellers,6,Cozy Country Living
95310,Columbia,43,9D,Senior Escapes,9,Senior Styles
95311,Coulterville,43,9D,Senior Escapes,9,Senior Styles
95312,Cressey,46,10A,Southern Satellites,10,Rustic Outposts
95313,Crows Landing,31,7E,Valley Growers,7,Ethnic Enclaves
95315,Delhi,28,7B,Urban Villages,7,Ethnic Enclaves
95316,Denair,21,6A,Green Acres,6,Cozy Country Living
95317,El Nido,31,7E,Valley Growers,7,Ethnic Enclaves
95318,El Portal,34,8B,Emerald City,8,Middle Ground
95320,Escalon,14,4B,Home Improvement,4,Family Landscapes
95321,Groveland,40,9A,Silver & Gold,9,Senior Styles
95322,Gustine,28,7B,Urban Villages,7,Ethnic Enclaves
95323,Hickman,21,6A,Green Acres,6,Cozy Country Living
95324,Hilmar,22,6B,Salt of the Earth,6,Cozy Country Living
95325,Hornitos,25,6E,Rural Resort Dwellers,6,Cozy Country Living
95326,Hughson,27,7A,Up and Coming Families,7,Ethnic Enclaves
95327,Jamestown,68,15,Unclassified,9,Senior Styles
95328,Keyes,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95329,La Grange,23,6C,The Great Outdoors,6,Cozy Country Living
95330,Lathrop,27,7A,Up and Coming Families,7,Ethnic Enclaves
95333,Le Grand,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95334,Livingston,28,7B,Urban Villages,7,Ethnic Enclaves
95335,Long Barn,25,6E,Rural Resort Dwellers,6,Cozy Country Living
95336,Manteca,14,4B,Home Improvement,4,Family Landscapes
95337,Manteca,15,4C,Middleburg,4,Family Landscapes
95338,Mariposa,23,6C,The Great Outdoors,6,Cozy Country Living
95340,Merced,13,4A,Soccer Moms,8,Middle Ground
95341,Merced,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95343,Merced,31,7E,Valley Growers,7,Ethnic Enclaves
95345,Midpines,23,6C,The Great Outdoors,6,Cozy Country Living
95346,Mi Wuk Village,25,6E,Rural Resort Dwellers,6,Cozy Country Living
95348,Merced,27,7A,Up and Coming Families,7,Ethnic Enclaves
95350,Modesto,37,8E,Front Porches,5,GenXurban
95351,Modesto,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95354,Modesto,63,13D,Fresh Ambitions,8,Middle Ground
95355,Modesto,13,4A,Soccer Moms,5,GenXurban
95356,Modesto,13,4A,Soccer Moms,4,Family Landscapes
95357,Modesto,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95358,Modesto,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95360,Newman,28,7B,Urban Villages,7,Ethnic Enclaves
95361,Oakdale,27,7A,Up and Coming Families,6,Cozy Country Living
95363,Patterson,27,7A,Up and Coming Families,7,Ethnic Enclaves
95364,Pinecrest,25,6E,Rural Resort Dwellers,6,Cozy Country Living
95365,Planada,31,7E,Valley Growers,7,Ethnic Enclaves
95366,Ripon,13,4A,Soccer Moms,4,Family Landscapes
95367,Riverbank,27,7A,Up and Coming Families,7,Ethnic Enclaves
95368,Salida,13,4A,Soccer Moms,4,Family Landscapes
95369,Snelling,46,10A,Southern Satellites,10,Rustic Outposts
95370,Sonora,23,6C,The Great Outdoors,9,Senior Styles
95372,Soulsbyville,22,6B,Salt of the Earth,6,Cozy Country Living
95374,Stevinson,29,7C,American Dreamers,7,Ethnic Enclaves
95375,Strawberry,25,6E,Rural Resort Dwellers,6,Cozy Country Living
95376,Tracy,13,4A,Soccer Moms,7,Ethnic Enclaves
95377,Tracy,3,1C,Boomburbs,1,Affluent Estates
95379,Tuolumne,23,6C,The Great Outdoors,6,Cozy Country Living
95380,Turlock,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95382,Turlock,27,7A,Up and Coming Families,8,Middle Ground
95383,Twain Harte,25,6E,Rural Resort Dwellers,6,Cozy Country Living
95385,Vernalis,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95386,Waterford,30,7D,Barrios Urbanos,7,Ethnic Enclaves
95387,Westley,31,7E,Valley Growers,7,Ethnic Enclaves
95388,Winton,30,7D,Barrios Urbanos,7,Ethnic Enclaves
